code,code_two,latin_name,type,ever_dec,lat,long,age,dbh,canopy_pos,chl,lma,ldcm,A,Dark_resp,E,g,comments
PT,Native,Populus tremula,Native,Deciduous,55.963917,-3.211267,50,38,L,48.5,45.135,0.3522,13.94,-0.94,6.65,64.31,
QP,Native,Quercus petraea,Native,Deciduous,55.965617,-3.21165,54,40.5,U,44.4,51.0546,0.3845,12.71,-0.33,3.25,63.59,
QP,Native,Quercus petraea,Native,Deciduous,55.965617,-3.21165,54,40.5,U,41.4,58.7684,0.3834,9.78,0.01,3.33,88.72,
QP,Native,Quercus petraea,Native,Deciduous,55.965617,-3.21165,54,40.5,U,42.7,57.5402,0.4015,11.35,-0.35,2.67,87.55,
QP,Native,Quercus petraea,Native,Deciduous,55.965617,-3.21165,54,40.5,L,47.2,81.6506,0.2979,7.28,-0.19,7.34,54.27,
QP,Native,Quercus petraea,Native,Deciduous,55.965617,-3.21165,54,40.5,L,45.7,89.8348,0.283,6.69,-0.15,7.15,93.89,
QP,Native,Quercus petraea,Native,Deciduous,55.965617,-3.21165,54,40.5,L,45.8,87.9546,0.3154,8.01,-0.17,6.76,72.85,
QR,Native,Quercus robur,Native,Deciduous,55.965817,-3.21115,54,50,U,47.5,68.1036,0.4412,11.72,-0.32,6.15,60.27,
QR,Native,Quercus robur,Native,Deciduous,55.965817,-3.21115,54,50,U,45.9,64.1729,0.3575,10.93,-0.32,8.29,96.91,
QR,Native,Quercus robur,Native,Deciduous,55.965817,-3.21115,54,50,U,45.1,73.1029,0.374,12.12,-0.31,7.24,75.92,
QR,Native,Quercus robur,Native,Deciduous,55.965817,-3.21115,54,50,L,39.7,60.5467,0.4469,11.11,-0.84,7.43,61.13,
QR,Native,Quercus robur,Native,Deciduous,55.965817,-3.21115,54,50,L,36.5,56.73,0.5785,12.45,0.05,7.14,71.44,
QR,Native,Quercus robur,Native,Deciduous,55.965817,-3.21115,54,50,L,37.6,58.1266,0.5178,12.75,0.08,6.34,90.21,
RI,Native,Rubus idaeus,Native,Deciduous,55.966583,-3.211983,4,4.4,U,33.1,57.5977,0.4214,11.18,0.43,7.3,67.59,
RI,Native,Rubus idaeus,Native,Deciduous,55.966583,-3.211983,4,4.4,U,33.5,62.2265,0.4979,13.88,0.24,6.49,58.31,
RI,Native,Rubus idaeus,Native,Deciduous,55.966583,-3.211983,4,4.4,U,33.2,63.7853,0.516,9.16,0.38,8.38,65.23,
RI,Native,Rubus idaeus,Native,Deciduous,55.966583,-3.211983,4,4.4,L,34.5,48.0135,0.4253,6.15,-0.43,6.73,54.03,
RI,Native,Rubus idaeus,Native,Deciduous,55.966583,-3.211983,4,4.4,L,36.6,48.0076,0.4444,7.34,-0.32,6.92,56.31,
RI,Native,Rubus idaeus,Native,Deciduous,55.966583,-3.211983,4,4.4,L,36.1,49.5145,0.3068,5.48,-0.39,7.65,67.48,
RR,Naturalised,Rosa rubiginosa,Naturalised,Deciduous,55.964267,-3.20418,25,4.2,U,35.9,41.0096,0.3708,12.64,-0.03,4.39,59.73,
RR,Naturalised,Rosa rubiginosa,Naturalised,Deciduous,55.964267,-3.20418,25,4.2,U,35.6,38.3369,0.2347,10.7,0.04,4.67,85.65,
RR,Naturalised,Rosa rubiginosa,Naturalised,Deciduous,55.964267,-3.20418,25,4.2,U,33,40.3925,0.4794,11.92,0.01,6.54,57.79,
RR,Naturalised,Rosa rubiginosa,Naturalised,Deciduous,55.964267,-3.20418,25,4.2,L,36,46.4468,0.395,10.81,-1.34,5.5,55.59,
RR,Naturalised,Rosa rubiginosa,Naturalised,Deciduous,55.964267,-3.20418,25,4.2,L,36.3,53.4747,0.4097,14.12,-0.32,4.85,68.88,
RR,Naturalised,Rosa rubiginosa,Naturalised,Deciduous,55.964267,-3.20418,25,4.2,L,35.9,55.4768,0.3856,12.29,-1.09,3.94,58.36,
SA,Native,Sorbus aucuparia,Native,Deciduous,55.966783,-3.212567,29,8.5,U,45.7,51.0546,0.3935,10.64,-0.59,5.5,71.45,
SA,Native,Sorbus aucuparia,Native,Deciduous,55.966783,-3.212567,29,8.5,U,46.2,42.9061,0.4205,14.9,-0.23,6.25,58.17,
SA,Native,Sorbus aucuparia,Native,Deciduous,55.966783,-3.212567,29,8.5,U,44.3,54.781,0.4244,12.75,0.29,6.66,82.57,
SA,Native,Sorbus aucuparia,Native,Deciduous,55.966783,-3.212567,29,8.5,L,46.1,43.2213,0.3577,7.74,-1.95,4.53,66.64,
SA,Native,Sorbus aucuparia,Native,Deciduous,55.966783,-3.212567,29,8.5,L,48.5,38.1444,0.3624,7.71,-1.81,3.32,94.88,
SA,Native,Sorbus aucuparia,Native,Deciduous,55.966783,-3.212567,29,8.5,L,45.8,37.3615,0.4244,8.11,-1.23,4.49,57.51,
SN,Native,Sambucus nigra,Native,Deciduous,55.9667,-3.212533,19,4.6,U,23.9,37.139,0.1797,16.85,-0.43,6.97,59.05,
SN,Native,Sambucus nigra,Native,Deciduous,55.9667,-3.212533,19,4.6,U,23.3,35.0932,0.1481,14.3,-0.36,7.12,93.78,
SN,Native,Sambucus nigra,Native,Deciduous,55.9667,-3.212533,19,4.6,U,27.8,34.5924,0.1772,15.74,-0.49,6.19,98.16,
SN,Native,Sambucus nigra,Native,Deciduous,55.9667,-3.212533,19,4.6,L,31.4,36.5861,0.2257,12.8,0.49,5.4,60.89,
SN,Native,Sambucus nigra,Native,Deciduous,55.9667,-3.212533,19,4.6,L,31.4,38.5348,0.2103,14.75,0.22,7.63,79.5,
SN,Native,Sambucus nigra,Native,Deciduous,55.9667,-3.212533,19,4.6,L,34.5,43.2253,0.2628,13.16,0.4,7.23,86.54,
TC,Native,Tilia cordata,Native,Deciduous,55.963717,-3.20965,54,79.5,U,48.7,47.1841,0.3278,11.94,-1.47,6.05,60.19,
TC,Native,Tilia cordata,Native,Deciduous,55.963717,-3.20965,54,79.5,U,51.1,53.9007,0.2575,10.47,-1.38,7.85,59.51,
TC,Native,Tilia cordata,Native,Deciduous,55.963717,-3.20965,54,79.5,U,49.3,39.7437,0.4355,10.75,-1.02,6.43,75.39,
TC,Native,Tilia cordata,Native,Deciduous,55.963717,-3.20965,54,79.5,L,35.9,27.7391,0.2853,10.94,-1.24,6.36,59.58,
TC,Native,Tilia cordata,Native,Deciduous,55.963717,-3.20965,54,79.5,L,37.4,39.4969,0.3468,11.34,-1.11,6.79,62.08,
TC,Native,Tilia cordata,Native,Deciduous,55.963717,-3.20965,54,79.5,L,36.9,40.7368,0.2897,11.36,-0.45,4.57,82.9,
UG,Native,Ulmus glabra,Native,Deciduous,55.96481,-3.21135,17,11,U,46.6,68.1036,0.3833,9.05,-1.32,6.18,83.74,
UG,Native,Ulmus glabra,Native,Deciduous,55.96481,-3.21135,17,11,U,46.7,58.5365,0.4112,11.3,-1.39,5.16,94.52,
UG,Native,Ulmus glabra,Native,Deciduous,55.96481,-3.21135,17,11,U,45.5,61.2378,0.2835,9.93,-1.44,4.5,69.98,
UG,Native,Ulmus glabra,Native,Deciduous,55.96481,-3.21135,17,11,L,42.4,72.1585,0.3725,10.95,-1.31,4.79,73.12,
UG,Native,Ulmus glabra,Native,Deciduous,55.96481,-3.21135,17,11,L,44.9,71.039,0.4358,9.97,-1.37,4.95,57.69,
UG,Native,Ulmus glabra,Native,Deciduous,55.96481,-3.21135,17,11,L,48.8,76.5949,0.4221,9.15,-0.99,4.78,65.08,
PA,Naturalised,Populus alba,Native,Deciduous,55.963933,-3.208517,54,11,U,46.6,61.4683,0.4025,15.09,-1.3,2.33,65.07,
PA,Naturalised,Populus alba,Native,Deciduous,55.963933,-3.208517,54,11,U,48,60.0654,0.5281,14.18,-1.38,3.19,81.04,
PA,Naturalised,Populus alba,Native,Deciduous,55.963933,-3.208517,54,11,U,49,53.939,0.3322,12.22,0.05,2.89,69.13,
PA,Naturalised,Populus alba,Native,Deciduous,55.963933,-3.208517,54,11,L,52.7,49.8566,0.3569,12.01,0.42,5.11,62.55,
PA,Naturalised,Populus alba,Native,Deciduous,55.963933,-3.208517,54,11,L,53.8,53.636,0.2496,11.04,0.07,4.36,67.28,
PA,Naturalised,Populus alba,Native,Deciduous,55.963933,-3.208517,54,11,L,51.1,51.9583,0.3514,13.31,0.09,6.77,75.15,
QC,Naturalised,Quercus cerris,Naturalised,Evergreen,55.96545,-3.2121,54,76,U,55,66.4448,0.3195,11.5,-1.83,5.65,76.65,
QC,Naturalised,Quercus cerris,Naturalised,Evergreen,55.96545,-3.2121,54,76,U,50,66.0074,0.3393,12.82,-0.16,6.18,72.02,
QC,Naturalised,Quercus cerris,Naturalised,Evergreen,55.96545,-3.2121,54,76,U,56.4,71.5474,0.3623,9.88,-0.26,6.36,66.3,
QC,Naturalised,Quercus cerris,Naturalised,Evergreen,55.96545,-3.2121,54,76,L,53,83.5858,0.4392,9.78,-1.43,5.31,71.1,
QC,Naturalised,Quercus cerris,Naturalised,Evergreen,55.96545,-3.2121,54,76,L,48.3,79.9918,0.3752,8.85,-1.22,7.74,62.35,
QC,Naturalised,Quercus cerris,Naturalised,Evergreen,55.96545,-3.2121,54,76,L,49,80.2381,0.3389,9.54,-0.92,5.23,94.13,
QI,Naturalised,Quercus ilex,Naturalised,Evergreen,55.966867,-3.209267,54,131,U,44.3,69.8136,0.2518,9.03,-0.37,5.19,79.5,
QI,Naturalised,Quercus ilex,Naturalised,Evergreen,55.966867,-3.209267,54,131,U,47.1,72.5434,0.2529,7.37,-0.43,6.75,70.53,
QI,Naturalised,Quercus ilex,Naturalised,Evergreen,55.966867,-3.209267,54,131,U,46.8,67.875,0.2045,9.32,-0.25,4.84,87.02,
QI,Naturalised,Quercus ilex,Naturalised,Evergreen,55.966867,-3.209267,54,131,L,49.6,61.9332,0.2371,8.03,-1.31,4.21,63.27,
QI,Naturalised,Quercus ilex,Naturalised,Evergreen,55.966867,-3.209267,54,131,L,50.1,74.0521,0.3759,9.93,-1.15,6.68,68.61,
QI,Naturalised,Quercus ilex,Naturalised,Evergreen,55.966867,-3.209267,54,131,L,47.8,72.659,0.2037,7.77,-1.4,5.92,67.67,
AP,Naturalised,Acer platanoides,Naturalised,Deciduous,55.964633,-3.211433,55,85,U,38.3,37.0469,0.3869,10.15,0.3,6.26,56.17,
AP,Naturalised,Acer platanoides,Naturalised,Deciduous,55.964633,-3.211433,55,85,U,38.1,34.9446,0.4877,13.48,0.13,5.16,80.37,
AP,Naturalised,Acer platanoides,Naturalised,Deciduous,55.964633,-3.211433,55,85,U,39.5,42.4509,0.437,11.72,0.23,5.4,95.54,
AP,Naturalised,Acer platanoides,Naturalised,Deciduous,55.964633,-3.211433,55,85,L,37.4,35.2959,0.4136,9.82,-0.35,6.07,57.85,
AP,Naturalised,Acer platanoides,Naturalised,Deciduous,55.964633,-3.211433,55,85,L,38.7,40.8338,0.4603,10.96,-0.26,5.47,69.36,
AP,Naturalised,Acer platanoides,Naturalised,Deciduous,55.964633,-3.211433,55,85,L,41.2,43.9649,0.4262,8.5,0.08,6.34,75.94,
APS,Naturalised,Acer pseudoplatanus,Naturalised,Deciduous,55.9647,-3.211533,55,85,U,43.7,63.035,0.3576,13.97,0.88,7.27,72.77,
APS,Naturalised,Acer pseudoplatanus,Naturalised,Deciduous,55.9647,-3.211533,55,85,U,41.7,72.1833,0.4595,11.41,-0.14,5.32,85.06,
APS,Naturalised,Acer pseudoplatanus,Naturalised,Deciduous,55.9647,-3.211533,55,85,U,42.9,65.1968,0.4681,12.96,-0.11,5.98,66.89,
APS,Naturalised,Acer pseudoplatanus,Naturalised,Deciduous,55.9647,-3.211533,55,85,L,46.4,55.386,0.3403,11.78,0.62,5.61,56.8,
APS,Naturalised,Acer pseudoplatanus,Naturalised,Deciduous,55.9647,-3.211533,55,85,L,42.5,67.5458,0.2072,10.96,0.21,6.77,69.28,
